### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
117,660241,CHAGAS (AD),Prácticas Generales,,,true
118,660242,CHAGAS (HAI),Prácticas Generales,,,true
653,663576,"CHAGAS, (PCR)",Prácticas Especiales,,,true
651,663571,"CHAGAS, Ac. IgM Anti- (ELISA)",Prácticas Especiales,,,true
652,663572,"CHAGAS, Ac. IgM Anti- (IFI)",Prácticas Especiales,,,true
119,660243,"CHAGAS, Ac. Totales / IgG (IFI / ELISA / QL)",Prácticas Generales,,,true
120,660244,"CHAGAS, PARASITEMIA",Prácticas Generales,,,true
121,660245,"CHAGAS, SEROLOGÍA CONFIRMATORIO",Prácticas Generales,,,true
654,663582,"CHIKUNGUNYA, virus (PCR)",Prácticas Especiales,,,true
655,663585,CHITOTRIOSIDASA sanguínea,Prácticas Especiales,,,true
656,663586,CHITOTRIOSIDASA sanguínea/soporte-papel (Fluorométrico),Prácticas Especiales,,,true
658,663591,CHLAMYDIA PNEUMONIAE PCR,Prácticas Especiales,,,true
657,663589,"CHLAMYDIA PNEUMONIAE, Ac. IgM Anti",Prácticas Especiales,,,true
